age,gender,city,role,seniority,code_language,years_experience,company_size,salary_2020,salary_2019,covid_redundancy
26,Male,Munich,Software Engineer,Senior,TypeScript,5,51-100,80,75,0
26,Male,Berlin,Backend Developer,Senior,Ruby,7,101-1000,80,82,0
29,Male,Berlin,Software Engineer,Lead,Javascript / Typescript,12,101-1000,120,100,1
37,Male,Berlin,Backend Developer,Senior,C# .NET,17,101-1000,62,62,0
32,Male,Berlin,DevOps,Senior,"AWS, GCP, Python,K8s",5,11-50,76,76,0
24,Male,Berlin,Frontend Developer,Senior,Typescript,5,1000+,65,65,0
29,Male,Berlin,Backend Developer,Senior,PHP,8,101-1000,56,55,0
35,Male,Berlin,Software Engineer,Lead,Java,15,101-1000,95,90,0
32,Female,Hamburg,Data Engineer,Junior,Aws Hadoop Postgre Typescript,2,101-1000,52.5,52.5,0
31,Male,Wolfsburg,Backend Developer,Senior,Kotlin,5,101-1000,75,75,0
27,Male,Berlin,Backend Developer,Senior,PHP,8,1000+,60,55,0
34,Male,Berlin,Mobile Developer,Lead,kotlin,11,101-1000,80,75,0
34,Male,Berlin,Software Architect,Lead,NodeJS,15,1000+,100,92,0
59,Male,Berlin,Backend Developer,Senior,Java,30,101-1000,69,69,0
36,Male,Berlin,Software Engineer,Lead,PHP,17,101-1000,70,65,0
38,Male,Berlin,Team Lead,Lead,iOS,18,101-1000,80,80,1
24,Male,Berlin,DevOps,Senior,Kubernetes,6,101-1000,75,63,0
37,Male,Berlin,Test manager,Middle,Charles,6,1000+,47.4,44,0
29,Male,Berlin,Software Engineer,Lead,Go,6,101-1000,85,78,0
39,Male,Berlin,Software Engineer,Senior,Java,8,51-100,80,80,0
33,Male,Berlin,Data Scientist,Lead,Python,5,1000+,150,81,0
28,Female,Berlin,Designer (UI/UX),Middle,Figma,7,1000+,45,37,0
30,Male,Berlin,Software Engineer,Senior,JavaScript,8,101-1000,80,72,0
28,Male,Berlin,Backend Developer,Senior,Kotlin,5,101-1000,75,58,0
38,Male,Berlin,DevOps,Senior,Go/Python,10,51-100,70,65,0
29,Male,Berlin,Frontend Developer,Senior,React,7,1000+,72,63,0
49,Male,Berlin,Software Engineer,Senior,Java,15,1000+,67,66,0
32,Male,Berlin,Frontend Developer,Senior,TypeScript,10,101-1000,105,80,1
30,Male,Berlin,Software Engineer,Senior,Java,6,1000+,74,54,0
48,Male,Berlin,Software Engineer,Senior,Java,25,101-1000,75,75,0
32,Male,Berlin,Backend Developer,Middle,Java,3,101-1000,77,62,0
31,Male,Berlin,Software Engineer,Lead,Python,7,101-1000,76,69,0
35,Male,Berlin,Backend Developer,Senior,Ruby,10,101-1000,75,72,0
28,Female,Berlin,Designer (UI/UX),Middle,Figma,7,1000+,45,37,0
32,Male,Berlin,Backend Developer,Senior,PHP,8,11-50,65,60,0
44,Male,Berlin,Backend Developer,Senior,Java,12,11-50,68,68,0
35,Male,Munich,Software Engineer,Senior,Php,11,101-1000,65,65,0
33,Male,Munich,DevOps,Lead,Kubernetes,15,101-1000,90,78,0
